primaryTitle,startYear,runtimeMinutes,genres
The Folly of Desire,1915,50,Drama
The Silent Voice,1915,60,"Drama,Romance"
Sin,1915,50,Drama
The Sins of Society,1915,50,Drama
The Sins of the Mothers,1914,50,Drama
The Siren's Song,1915,50,Drama
A Soldier's Oath,1915,50,Drama
Somewhere in France,1915,50,Documentary
Sonad skuld,1915,48,Drama
The Song of Hate,1915,60,Drama
The Song of the Wage Slave,1915,50,Drama
The Soul of Broadway,1915,50,"Crime,Drama,Romance"
The Spanish Jade,1915,60,Drama
Still Waters,1915,50,"Comedy,Drama"
Stingaree,1915,250,Drama
The Stolen Voice,1915,50,"Drama,Romance"
The Pride of the Firm,1914,47,Comedy
Strejken,1914,78,Drama
Stuart Webbs: Die Toten erwachen,1915,48,"Action,Crime"
Sunday,1915,50,Drama
The Supreme Test,1915,50,Drama
Sweet Alyssum,1915,59,Drama
Tainted Money,1915,50,Drama
Temptation,1915,60,"Drama,Romance"
Thou Art the Man,1916,60,Drama
Trilby,1915,59,Drama
The Turn of the Road,1915,50,Drama
The Two Orphans,1915,70,Drama
Under Southern Skies,1915,50,Drama
The Unfaithful Wife,1915,50,Drama
The Unknown,1915,50,"Adventure,Drama"
The Valley of Decision,1916,50,"Drama,Romance"
Les vampires,1915,421,"Action,Adventure,Crime"
Via Wireless,1915,50,Drama
War and Peace,1915,100,"Drama,History"
The Warning,1915,50,Drama
The Warrens of Virginia,1915,50,"Drama,War"
What Happened to Jones,1915,50,Comedy
The Wheels of Justice,1915,40,"Crime,Drama,Romance"
When It Strikes Home,1915,50,Drama
The Whirl of Life,1915,60,Comedy
The White Scar,1915,50,Adventure
Who Pays?,1915,360,Drama
The Wild Olive,1915,50,Drama
Wildfire,1915,50,Drama
The Winged Idol,1915,50,Drama
The Woman Pays,1915,50,Drama
A Woman's Past,1915,50,Drama
A Woman's Resurrection,1915,50,Drama
The Woman,1915,50,Drama
The Wonderful Adventure,1915,60,"Drama,Romance"
Wormwood,1915,50,Drama
Het wrak van de Noorzee,1915,60,Drama
A Yellow Streak,1915,50,Drama
Young Romance,1915,59,"Comedy,Romance"
Zaza,1915,50,Drama
"20,000 Leagues Under the Sea",1916,85,"Action,Adventure,Sci-Fi"
Acquitted,1916,50,Drama
The Adventures of Peg o' the Ring,1916,300,"Action,Drama"
Aktiebolaget Hälsans gåva,1916,57,Drama
The Alibi,1916,50,Drama
Alien Souls,1916,50,Drama
All Man,1916,50,Western
The Almighty Dollar,1916,50,Drama
Ambition,1916,50,Drama
America Preparing,1916,100,Documentary
American Aristocracy,1916,52,"Adventure,Comedy,Drama"
The American Beauty,1916,50,Drama
The Americano,1916,61,"Adventure,Comedy,Romance"
The Answer,1916,50,Drama
Anton the Terrible,1916,50,Drama
The Apostle of Vengeance,1916,50,Drama
Arms and the Woman,1916,50,Drama
Arsene Lupin,1916,74,"Crime,Drama"
The Aryan,1916,50,Western
As in a Looking Glass,1916,50,Drama
Ashes of Embers,1916,50,Drama
Atta Boy's Last Race,1916,50,Drama
Audrey,1916,50,Drama
Aus Mangel an Beweisen,1916,49,Drama
Autumn,1916,50,Adventure
The Avenger,1915,49,Drama
The Awakening of Helena Ritchie,1916,50,Drama
A Circus Romance,1916,50,Drama
Wolo czawienko,1916,54,Drama
The Ballet Girl,1916,50,Drama
Barriers of Society,1916,50,Drama
The Battle of Hearts,1916,50,Drama
The Battle of Life,1916,50,"Crime,Drama"
Kitchener's Great Army in the Battle of the Somme,1916,74,"Documentary,War"
The Beast,1916,50,"Comedy,Drama,Romance"
Beatrice Fairfax,1916,300,"Action,Adventure"
The Beckoning Trail,1916,50,"Drama,Thriller"
The Beggar of Cawnpore,1916,60,Drama
Behind the Lines,1916,50,"Drama,War"
The Belle of the Season,1917,50,Drama
Ben Blair,1916,50,"Action,Drama,Romance"
El beso de la muerte,1917,72,Drama
Bettina Loved a Soldier,1916,50,"Comedy,Drama"
Betty of Greystone,1916,50,Drama
The Big Sister,1916,50,Drama
Big Tremaine,1916,50,"Drama,Romance"
Black Friday,1916,50,"Drama,History"
Black Orchids,1917,50,"Drama,Horror"
The Black Sheep of the Family,1916,50,Drama
The Black Wolf,1917,50,Adventure
The Blacklist,1916,50,Drama
Blazing Love,1916,50,Drama
Blue Blood and Red,1916,50,"Comedy,Western"
The Blue Envelope Mystery,1916,50,Drama
Bobbie of the Ballet,1916,50,Drama
La vie de Bohème,1916,50,Romance
The Bondman,1916,60,Drama
Bought and Paid For,1916,50,Drama
The Brand of Cowardice,1916,50,Drama
Brigadier Gerard,1915,50,"Drama,History"
Broken Fetters,1916,50,Drama
The Bugle Call,1916,50,"Drama,Western"
The Bugler of Algiers,1916,50,"Action,Drama,War"
Bullets and Brown Eyes,1916,50,"Drama,Romance"
Who Killed Simon Baird?,1916,50,Mystery
Die Börsenkönigin,1918,53,"Drama,Romance"
The Call of the Cumberlands,1916,62,Drama
Caprice of the Mountains,1916,75,Drama
The Captive God,1916,50,"Adventure,History"
Casey at the Bat,1916,50,"Drama,Sport"
The Chalice of Sorrow,1916,50,Drama
The Challenge,1916,50,Drama
The Chattel,1916,50,Drama
A Child of Mystery,1916,50,"Crime,Drama,Thriller"
A Child of the Paris Streets,1916,50,Drama
The Children Pay,1916,50,Drama
The Children in the House,1916,50,Drama
Children of the Feud,1916,50,Drama
Christus,1916,88,Drama
Civilization,1915,85,"Drama,War"
The Closed Road,1916,50,Drama
The Code of Marcia Gray,1916,50,Drama
The Combat,1916,60,Drama
The Come-Back,1916,50,Drama
Common Ground,1916,50,Drama
The Common Law,1916,70,"Drama,Romance"
The Conflict,1916,50,Drama
The Cossack Whip,1916,61,Drama
The Crippled Hand,1916,50,Drama
The Crisis,1916,100,"Drama,History,War"
The Crucial Test,1916,50,Drama
Daphne and the Pirate,1916,50,"Adventure,Drama"
Daredevil Kate,1916,60,Drama
The Daring of Diana,1916,50,Drama
A Daughter of the Gods,1916,180,Drama
David Garrick,1916,50,"Biography,Comedy,Drama"
Davy Crockett,1916,50,"Action,Biography,Western"
The Dawn Maker,1916,50,Western
The Dawn of Love,1916,50,Drama
The Decoy,1916,50,"Crime,Drama"
The Deserter,1916,50,"Adventure,Western"
Destiny's Toy,1916,52,Drama
The Destroyers,1916,50,Drama
The Devil at His Elbow,1916,50,Drama
The Devil's Bondwoman,1916,50,Drama
The Devil's Double,1916,50,Western
The Devil's Needle,1916,59,Drama
The Devil's Prize,1916,50,Drama
Diane of the Follies,1916,50,"Comedy,Drama"
Dimples,1916,50,Drama
Diplomacy,1916,50,"Comedy,Drama"
The Dividend,1916,50,Drama
Doctor Neighbor,1916,50,Drama
Drugged Waters,1916,50,Drama
The Dumb Girl of Portici,1916,112,"Drama,History,Romance"
The Dupe,1916,50,Drama
Kiss of Death,1916,65,"Comedy,Crime,Drama"
Each Pearl a Tear,1916,50,Drama
The Eagle's Wings,1916,50,Drama
East Lynne,1916,75,Drama
Elusive Isabel,1916,50,Drama
The End of the Rainbow,1916,50,Drama
The End of the Trail,1916,50,Drama
An Enemy to the King,1916,60,"Adventure,History"
The Eternal Sappho,1916,50,Drama
The Evil Women Do,1916,50,Drama
The Eye of God,1916,50,Mystery
Eye of the Night,1916,50,Drama
The Fall of a Nation,1916,75,Drama
The Feast of Life,1916,50,Drama
The Feud Girl,1916,50,Drama
Fifty-Fifty,1916,55,Drama
Fighting Blood,1916,50,Drama
Fires of Conscience,1916,60,Drama
The Flirt,1916,50,Drama
Flirting with Fate,1916,57,"Adventure,Comedy"
The Flower of No Man's Land,1916,50,Drama
The Flying Torpedo,1916,50,Drama
The Fool's Revenge,1916,50,Drama
For the Defense,1916,50,Drama
The Fourth Estate,1916,50,"Crime,Drama"
Friday the 13th,1916,50,Drama
From Broadway to a Throne,1916,50,Drama
Fången på Karlstens fästning,1916,61,Drama
Under Suspicion,1916,60,"Comedy,Crime"
The Gates of Eden,1916,50,Drama
The Gay Lord Waring,1916,50,"Drama,Thriller"
Genie tegen geweld,1916,70,"Crime,Drama,Mystery"
The Gilded Cage,1916,50,"Drama,Romance"
The Gilded Spider,1916,50,Drama
The Girl Philippa,1916,70,"Drama,Romance,Thriller"
The Girl with the Green Eyes,1916,50,Drama
The Girl of Lost Lake,1916,50,Drama
Gloriana,1916,50,Drama
God's Country and the Woman,1916,80,"Drama,Romance"
God's Crucible,1917,50,"Drama,Western"
God's Half Acre,1916,50,Drama
Going Straight,1916,60,"Crime,Drama"
Gold and the Woman,1916,60,Drama
The Golden Idiot,1917,65,"Comedy,Drama"
The Good Bad-Man,1916,50,"Romance,Western"
